context_id	target	target_pos	target_position	gold_sense_ids	predict_sense_ids	golden_related	predict_related	context
add.v.1	add	v	51,57	add%2:32:01::/4	5	insert,sneak in,supply,slip in,stick in,toss in,add,state,append,tell,say	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	Lewinsky wrote "Return to Sender" on the envelope, adding, "You must be morons to send me this letter!"
add.v.2	add	v	121,125	add%2:32:01::/4	5	insert,sneak in,supply,slip in,stick in,toss in,add,state,append,tell,say	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	For instance, the Post also has the story about the woman meeting with Clinton just days before his first Inaugural, but adds the detail that she says all the encounters were innocent.
add.v.3	add	v	27,33	add%2:30:00::/4	5	concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	Preventing developers from adding features is not as easy as it sounds.
add.v.4	add	v	7,10	add%2:32:00::/4	5	count,tote up,sum,tally,add together,tot,number,add up,add,summate,tot up,enumerate,sum up,total,numerate	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	if you add the um uh people of various sexual persuasions and those who never intend to marry and those who are retired and those who are um just looking for fun they people with families turn out to be such a small minority that they can't get the tax bill passed no matter what happens
add.v.5	add	v	3,8	add%2:40:00::/4	2	instill,tinsel,lend,contribute,modify,bestow,bring,add,throw in,impart,factor,transfuse,alter,change	believe,understand,regret,confident,stress,reiterate,say,concede,note,indicate,assure,explain,concede,however,surmise,acknowledge,misunderstand,hopeful,suggest,optimistic,appreciate,imply,tell,clarify,also,assure,disappoint,emphasize,convince,say,glad,inform,hope,reply,think,delighted,unaware,caution,obviously,recall,emphasise,insist,inform,insist,absolutely,jochems,remind,maintain,but,nonetheless,recognize,admit,warn,learn,afterward,discount,suggest,acknowledge,tell,overreact,conclude,admit,aware,ruefully,assert,acknowledge,emphatically,nevertheless,emphasize,explicitly,argue,convinced,belief,feel,concur,insist,jochems,definitely,gratify,elaborate,elaborate,discuss,emphasize,reassure,explain,anymore,realize,boast,ironic,although,confirm,remind,alkatiri,aroca,underline,wermuth,unbelievable,relieve,regret,say,fact,hishammuddin,aroca,undaunt,mccormack,misquote,reconsider,testify,acknowledge,repeatedly,hint,worry,disappointing,wouldnt,unsustainability,deiss,satisfy,eckhard,astonish,snedden,kazini,bluntly,wethington,assert,deny,rotberg,optimistic,that,resign,cannistraro,firmly,sommaruga,welcome,mieth,jordaan,unsustainability,wermuth,concur,realize,pmos,burghart,allaster,bluntly,zypries,mr,contention,purisima,unequivocally,convince,regrettable,durling,reporter,dhliwayo,worry,afp,dhliwayo,reiterate,opine,think,suggestion,mccreevy,mussomeli,retort,wryly,anticipate,concern,vignudelli,pointedly,gailhaguet,villiger,heye,downplay,would,kowalczuk,emie,disappointed,deserve,kirwa,trifunovic,complain,predict,trifunovic,rayle,lubis,shenkman,argue,ridiculous,clearly,retract,haub,satisfied,demand,delight,departure,unfortunately,indeed,glumly,hearten,dirita,kowalczuk	An added benefit of a warm winter, of course, would be that it would make it clearer than ever that Gore's concern about global warming is well-founded.
add.v.6	add	v	35,38	add%2:30:00::/4	3	concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject	cook,combine,mix,mixture,blend,stir,gently,cornstarch,pour,moisten,sugar,reserved,liquid,brown,gelatine,oil,drain,caramelize,smooth,granule,cornflour,buttermilk,gelatin,fry,emulsify,dry,sauce,broth,blanch,breadcrumb,lightly,until,glaze,frothy,soften,pureed,lard,blended,boil,finely,swirl,syrupy,fragrant,coat,whisk,butter,caramelise,rehydrate,sautee,syrup,batter,briskly,egg,fold,mash,melt,toss,evaporate,chicken,foamy,cornflake,vinegar,cocoa,crystallize,thicken,stick,shallot,milk,whisking,sauteing,chill,garlic,onion,molasses,reheat,braising,gradually,coated,scald,flour,almond,dripping,chop,marshmallow,lukewarm,softened,flavoring,spinach,pasta,shortening,kirsch,skillet,defrost,salted,tender,infuse,chocolate,honey,bubbling,crushed,coarsely,epazote,paste,blanched,vanilla,1tsp,juiced,arrowroot,seasoning,apricot,melted,freeze,sultana,vegetable,peanut,poaching,pancetta,puree,chilled,crumble,ghee,simmering,ladle,dessertspoon,cooked,raisin,filling,emulsion,custard,flaked,tamarus,macerate,cornmeal,eggplant,crisp,medium,1tbsp,leek,saute,thickened,liquidise,deglaze,spice,parboil,spreadable,margarine,semolina,soaked,corn,pumpkin,warm,broil,6tablespoon,dredge,sifted,bouillon,3tbsp,unsalted,casserole,coconut,600ml,thoroughly,salt,large,remove,chickpea,moistened,mincemeat,walnut,yogurt,thyme,150g,diced,cubed,suet,seasoned,crush,puree,4tablespoon,garnishes,tablespoon,chestnut,masa,tofu,boiling,rhubarb,amarettus,cube,tahinus,undrain,tomato,souffle,juice,skim,oatmeal,baking,2tablespoons,marmite,generously,drizzle	To prepare a 10% solution of acid, add 10 mL of concentrated acid to 90 mL of deionized water.
add.v.7	add	v	145,148	add%2:31:00::/4	5	cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	To find the day of the week on which that date fell, first divide 1947 by 4: the answer is 486 (with a remainder of 3, which should be ignored); add this number: 1947 + 486 = 2433 .
add.v.8	add	v	5,10	add%2:31:00::/4	5	cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	uh i added up all the taxes that we were going to pay on all these different specific luxury items and travel expenses and everything else
add.v.9	add	v	82,87	add%2:30:00::/4	3	concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject	cook,combine,mix,mixture,blend,stir,gently,cornstarch,pour,moisten,sugar,reserved,liquid,brown,gelatine,oil,drain,caramelize,smooth,granule,cornflour,buttermilk,gelatin,fry,emulsify,dry,sauce,broth,blanch,breadcrumb,lightly,until,glaze,frothy,soften,pureed,lard,blended,boil,finely,swirl,syrupy,fragrant,coat,whisk,butter,caramelise,rehydrate,sautee,syrup,batter,briskly,egg,fold,mash,melt,toss,evaporate,chicken,foamy,cornflake,vinegar,cocoa,crystallize,thicken,stick,shallot,milk,whisking,sauteing,chill,garlic,onion,molasses,reheat,braising,gradually,coated,scald,flour,almond,dripping,chop,marshmallow,lukewarm,softened,flavoring,spinach,pasta,shortening,kirsch,skillet,defrost,salted,tender,infuse,chocolate,honey,bubbling,crushed,coarsely,epazote,paste,blanched,vanilla,1tsp,juiced,arrowroot,seasoning,apricot,melted,freeze,sultana,vegetable,peanut,poaching,pancetta,puree,chilled,crumble,ghee,simmering,ladle,dessertspoon,cooked,raisin,filling,emulsion,custard,flaked,tamarus,macerate,cornmeal,eggplant,crisp,medium,1tbsp,leek,saute,thickened,liquidise,deglaze,spice,parboil,spreadable,margarine,semolina,soaked,corn,pumpkin,warm,broil,6tablespoon,dredge,sifted,bouillon,3tbsp,unsalted,casserole,coconut,600ml,thoroughly,salt,large,remove,chickpea,moistened,mincemeat,walnut,yogurt,thyme,150g,diced,cubed,suet,seasoned,crush,puree,4tablespoon,garnishes,tablespoon,chestnut,masa,tofu,boiling,rhubarb,amarettus,cube,tahinus,undrain,tomato,souffle,juice,skim,oatmeal,baking,2tablespoons,marmite,generously,drizzle	The tripe with onions and garlic is cooked for several hours, posole or hominy is added, along with red chile.
add.v.10	add	v	50,54	add%2:31:00::/4	5	cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out	allow,recreate,revert,create,tweak,give,convert,custom,alter,attach,customize,extend,dedicate,customise,update,use,print,feature,remember,overlie,insert,swap,enable,transpose,customised,enter,adapt,accommodate,larger,restore,assign,periodically,rename,scan,handle,display,allows,customisation,bypass,powermarks,microelectrode,existing,get,accomodate,catcopy,check,customization,everytime,crappier,introduce,variscaler,rearrange,render,20gb,logo,expand,customized,redirect,resize,recode,enhancement,simply,additional,modify,printboss,personalize,remove,save,send,prefer,selector,reconfigure,configurable,activate,microelectrode,scrolling,start,smartdesktop,style,prescan,manager3,reorganise,junkmail,name,automatically,ability,descriptive,sprite,coreldraw,tweaked,replace,specific,seperate,manipulate,load,sanddock,migrate,you,choose,adding,provide,personalise,supercite,replicate,auto,offer,webkit,tune,pixmap,advanced,manually,mysimon,pvconv,accommodate,graphical,try,suit,dockable,select,undo,preset,populate,runalltest,actionscript,image,qcr,duplicate,unlock,xmnselectionpolicy,animate,refer,lightroom,merged,reorder,pinboard,pmwiki,profiles,passwordrecovery,duratrans,edit,canvas,adjust,keysuite,exeteru,smartremove,mag3,lookup,template,optimise,golive,go,qcr,barcode,resize,formatting,optimized,clut,clipping,hardcopy,freescreencast,search,redesign,etc,panelling,servlet,appropriately,incorparate,microelectrode,copying,autoshape,clipboard,modified,reposition,tabbed,pivot,powerswitch,menu,customise,vdhtml,emboss,administrate,cumana,trackwheel,watermark,decs95,smartxx,desklet,photosafe,clipart,new,pad,synchronize,autosave,retrieve,layout,optionally,xpalette,entire,mag3,customisable	and they give you a half percent of that and that adds up to you know two fifty or something
