context_id	target	target_pos	target_position	gold_sense_ids	predict_sense_ids	golden_related	predict_related	context
add.v.1	add	v	51,57	add%2:32:01::/4		insert,sneak in,supply,slip in,stick in,toss in,add,state,append,tell,say		Lewinsky wrote "Return to Sender" on the envelope, adding, "You must be morons to send me this letter!"
add.v.2	add	v	121,125	add%2:32:01::/4		insert,sneak in,supply,slip in,stick in,toss in,add,state,append,tell,say		For instance, the Post also has the story about the woman meeting with Clinton just days before his first Inaugural, but adds the detail that she says all the encounters were innocent.
add.v.3	add	v	27,33	add%2:30:00::/4		concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject		Preventing developers from adding features is not as easy as it sounds.
add.v.4	add	v	7,10	add%2:32:00::/4		count,tote up,sum,tally,add together,tot,number,add up,add,summate,tot up,enumerate,sum up,total,numerate		if you add the um uh people of various sexual persuasions and those who never intend to marry and those who are retired and those who are um just looking for fun they people with families turn out to be such a small minority that they can't get the tax bill passed no matter what happens
add.v.5	add	v	3,8	add%2:40:00::/4		instill,tinsel,lend,contribute,modify,bestow,bring,add,throw in,impart,factor,transfuse,alter,change		An added benefit of a warm winter, of course, would be that it would make it clearer than ever that Gore's concern about global warming is well-founded.
add.v.6	add	v	35,38	add%2:30:00::/4		concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject		To prepare a 10% solution of acid, add 10 mL of concentrated acid to 90 mL of deionized water.
add.v.7	add	v	145,148	add%2:31:00::/4		cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out		To find the day of the week on which that date fell, first divide 1947 by 4: the answer is 486 (with a remainder of 3, which should be ignored); add this number: 1947 + 486 = 2433 .
add.v.8	add	v	5,10	add%2:31:00::/4		cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out		uh i added up all the taxes that we were going to pay on all these different specific luxury items and travel expenses and everything else
add.v.9	add	v	82,87	add%2:30:00::/4		concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject		The tripe with onions and garlic is cooked for several hours, posole or hominy is added, along with red chile.
add.v.10	add	v	50,54	add%2:31:00::/4		cypher,compute,calculate,figure,reckon,foot up,add together,add,cipher,foot,work out		and they give you a half percent of that and that adds up to you know two fifty or something
add.v.11	add	v	46,51	add%2:32:00::/4		count,tote up,sum,tally,add together,tot,number,add up,add,summate,tot up,enumerate,sum up,total,numerate		If the response-to-advertising mail were also added to advertising mail it would have resulted in double counting.
add.v.12	add	v	32,38	add%2:30:00::/4		concatenate,gild the lily,string,mix in,add on,modify,qualify,string up,fortify,compound,paint the lily,butylate,put on,milk,punctuate,work in,button,mark,increase,mix,add,supplement,combine,adjoin,stud,enrich,welt,include,intercalate,inject		right to make it right and also adding some accessories to different different things i'm not a real um i don't like to wear really big earrings i kind of have a few gold earrings that are my favorites and just little pearls so i'm really kind of boring in a sense conservative
